Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
Opel Astra Electric,315,161,1736,9.2,343,50.8,79,0,352,125,41.99
Mercedes-Benz EQE 350+,555,173,2415,6.5,597,96.0,141,750,430,136,71.412
BYD DOLPHIN SURF 30 kWh Active,190,158,1369,11.1,199,30.0,45,0,308,118,22.99
Nissan LEAF e+ 62 kWh,345,171,1756,7.3,297,59.0,44,0,420,112,37.55
Renault 5 E-Tech 40kWh 95hp,260,154,1428,12.0,188,40.0,0,500,326,94,24.9
Tesla Model X Dual Motor,485,196,2415,3.9,539,95.0,140,2300,608,242,115.97
Smart #1 Pro+,335,185,1863,6.7,357,62.0,90,1600,338,124,42.49
BMW i4 eDrive35,430,156,2065,6.0,487,67.0,95,1600,470,134,56.5
Opel Corsa-e,285,162,1530,8.1,308,46.3,74,0,267,107,29.9
Smart #5 Premium,475,202,2335,6.5,587,96.0,230,1600,702,118,55.4
Hyundai IONIQ 6 84 kWh AWD,520,154,2105,5.1,661,80.0,196,1500,416,118,61.55
Peugeot e-5008 97 kWh Long Range,485,200,2316,9.6,496,96.9,135,1000,348,115,55.35
Subaru Solterra AWD,320,200,2085,6.9,337,64.0,85,750,441,175,57.49
Honda e:Ny1,335,185,1730,7.6,318,61.9,60,0,361,130,38.99
Honda e,170,168,1588,9.0,168,28.5,31,0,171,215,33.85
Nissan LEAF 40 kWh,235,166,1580,7.9,218,39.0,40,0,435,134,35.9
Renault 5 E-Tech 40kWh 120hp,260,154,1447,9.0,269,40.0,55,500,326,103,27.9
Hyundai IONIQ 6 Long Range AWD,440,168,2095,5.1,569,74.0,208,1500,416,135,61.1
CUPRA Tavascan VZ,425,181,2273,5.5,446,77.0,120,1200,540,144,60.78
Opel Frontera Electric 44 kWh,240,183,1573,12.1,254,43.8,62,350,460,118,28.99
Zeekr 7GT Core RWD,410,176,2340,5.3,542,72.0,240,1600,521,117,48.95
Volkswagen ID.3 GTX,470,168,1985,5.9,526,79.0,135,0,385,106,47.225
MG Cyberster GT,395,188,2060,3.2,409,74.4,85,0,249,177,69.99
Mercedes-Benz GLB 350 4MATIC,460,185,2280,5.5,571,85.0,208,2000,667,141,62.178
