WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
6.54,0.0,0.11641791044776119,0.0,0.5130111524163569,0.0,0.7423728813559323,0.7847682119205297,0.1657754010695187,1.0,0.0
8.0,0.0,0.0014925373134328358,0.0,0.5613382899628253,0.0,0.6949152542372882,0.5794701986754967,0.3101604278074867,1.0,0.0
4.29,0.0,0.007462686567164179,0.0,0.5464684014869888,0.0,0.6271186440677966,0.586092715231788,0.3957219251336899,1.0,0.0
2.46,0.0,0.0,0.0,0.47583643122676583,0.0,0.5050847457627119,0.47682119205298007,0.4866310160427808,0.0,0.0
2.88,0.0,0.0,0.0,0.4572490706319703,0.0,0.46779661016949153,0.43708609271523174,0.518716577540107,0.0,1.0
4.46,0.0,0.0,0.0,0.5799256505576209,0.0,0.5186440677966102,0.45033112582781454,0.6149732620320857,0.0,1.0
5.66,0.0,0.0029850746268656717,0.0,0.40148698884758366,0.0,0.6169491525423729,0.5960264900662251,0.20320855614973266,1.0,0.0
12.96,0.0,0.05522388059701493,0.0,0.4349442379182157,0.0,0.6474576271186441,0.4403973509933774,0.2032085561497327,1.0,1.0
12.25,0.0,0.014925373134328358,0.0,0.46468401486988853,0.0,0.6440677966101696,0.567435314830643,0.251336898395722,1.0,0.0
9.5,0.0,0.05373134328358209,0.0,0.6133828996282528,0.0,0.6745762711864407,0.5298013245033112,0.41711229946524064,1.0,0.0
7.46,0.0,0.16417910447761194,0.0,0.4721189591078067,0.0,0.7050847457627119,0.6026490066225165,0.1657754010695187,1.0,0.0
10.71,0.0,0.026865671641791045,0.0,0.479553903345725,0.0,0.6169491525423729,0.519867549668874,0.3155080213903744,1.0,0.0
5.25,0.0,0.0417910447761194,0.0,0.5167286245353161,0.0,0.4711864406779661,0.4039735099337748,0.5989304812834226,1.0,1.0
13.75,0.0,0.25671641791044775,0.0,0.479553903345725,0.0,0.6508474576271186,0.5132450331125827,0.26203208556149743,1.0,0.0
6.0,0.0,0.0,0.0,0.6059479553903346,0.0,0.6169491525423729,0.47350993377483436,0.4973262032085563,0.0,1.0
6.25,0.0,0.0,0.0,0.6282527881040892,0.0,0.6338983050847458,0.5298013245033112,0.5026737967914441,0.0,0.0
2.67,0.0,0.0,0.0,0.5799256505576209,0.0,0.48135593220338985,0.390728476821192,0.6737967914438505,0.0,1.0
4.04,0.0,0.05970149253731343,0.0,0.587360594795539,0.0,0.6305084745762712,0.6026490066225165,0.4491978609625669,1.0,0.0
5.09,0.0,0.023880597014925373,0.0,0.6171003717472119,0.0,0.6949152542372882,0.567435314830643,0.39037433155080226,1.0,0.0
9.96,0.0,0.10895522388059702,0.0,0.7174721189591078,0.0,0.6677966101694914,0.567435314830643,0.5775401069518719,1.0,0.0
10.46,0.0,0.050746268656716415,0.0,0.4869888475836432,0.0,0.6508474576271186,0.567435314830643,0.27272727272727276,1.0,0.0
9.5,0.0,0.005970149253731343,0.0,0.5799256505576209,0.0,0.6406779661016949,0.6953642384105959,0.4224598930481284,1.0,0.0
5.96,0.0,0.029850746268656716,0.0,0.6245353159851301,0.0,0.7457627118644068,0.7350993377483444,0.32085561497326204,1.0,0.0
9.13,0.0,0.01044776119402985,0.0,0.6022304832713755,0.0,0.6000000000000001,0.5761589403973509,0.5187165775401072,1.0,0.0
16.83,0.0,0.011940298507462687,0.0,0.5799256505576209,0.0,0.7016949152542373,0.6821192052980132,0.3262032085561498,1.0,0.0
18.21,0.0,0.03432835820895522,0.0,0.49814126394052055,0.0,0.6203389830508474,0.629139072847682,0.33689839572192526,1.0,0.0
18.58,0.0,0.0,0.0,0.5613382899628253,0.0,0.6338983050847458,0.6589403973509933,0.40641711229946537,0.0,0.0
7.25,0.0,0.0,0.0,0.6245353159851301,0.0,0.5728813559322035,0.5662251655629138,0.5935828877005349,0.0,0.0
3.33,0.0,0.0,0.0,0.6394052044609666,0.0,0.4610169491525424,0.4437086092715231,0.7914438502673801,0.0,1.0
